name,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,century,half_century,ducks,country
DC Thomas,2009-2013,21.0,19,2,238,37,14.0,364,65.38,0,0,3,WI
NS Poonia,2006-2009,21.0,21,0,237,67,11.28,377,62.86,0,1,7,SCOT
AM Tribe,2023-2023,5.0,5,1,237,115,59.25,321,73.83,1,1,0,JER
I Udana,2012-2021,21.0,18,4,237,78,16.92,249,95.18,0,1,2,SL
Enamul Haque,1990-2002,29.0,26,5,236,32,11.23,479,49.26,0,0,1,BAN
GJ Hopkins,2004-2010,25.0,17,1,236,45,14.75,311,75.88,0,0,3,NZ
Khurram Manzoor,2008-2009,7.0,7,0,236,83,33.71,375,62.93,0,3,1,PAK
Mujeeb Ur Rahman,2017-2023,75.0,40,14,236,64,9.07,262,90.07,0,1,12,AFG
GR Codrington,2006-2007,17.0,15,3,235,45,19.58,372,63.17,0,0,1,CAN
JP Crawley,1994-1999,13.0,12,1,235,73,21.36,408,57.59,0,2,2,ENG
Abid Ali,2019-2020,6.0,6,0,234,112,39.0,250,93.6,1,1,1,PAK
GJ Delany,2020-2023,21.0,18,5,234,22,18.0,246,95.12,0,0,1,IRE
Iftikhar Anjum,2004-2010,62.0,34,19,234,32,15.6,378,61.9,0,0,4,PAK
P Mustard,2007-2008,10.0,10,0,233,83,23.3,252,92.46,0,1,0,ENG
RB Reid,1991-1991,7.0,7,0,232,64,33.14,394,58.88,0,2,0,NZ
C Madande,2022-2024,15.0,11,1,231,74,23.1,312,74.03,0,2,2,ZIM
STR Binny,2014-2015,14.0,11,3,230,77,28.75,246,93.49,0,1,1,IND
TM Dowlin,2009-2010,11.0,11,2,228,100,25.33,348,65.51,1,1,2,WI
DR Flynn,2008-2012,20.0,17,2,228,35,15.2,360,63.33,0,0,3,NZ
AY Karim,1996-2003,34.0,24,6,228,53,12.66,375,60.8,0,1,5,KENYA
SR Thompson,2013-2017,20.0,15,1,228,39,16.28,251,90.83,0,0,0,IRE
M Dillon,1997-2005,108.0,51,20,227,21,7.32,411,55.23,0,0,9,WI
Raza-ur-Rehman,2013-2014,6.0,5,0,225,88,45.0,262,85.87,0,3,1,CAN
Faheem Ashraf,2017-2023,34.0,24,3,224,28,10.66,274,81.75,0,0,2,PAK
BP Julian,1993-1999,25.0,17,0,224,35,13.17,250,89.6,0,0,4,AUS
BR McDermott,2021-2022,5.0,5,0,223,104,44.6,278,80.21,1,1,1,AUS
V Shankar,2019-2019,12.0,8,1,223,46,31.85,246,90.65,0,0,0,IND
DN Wellalage,2022-2024,21.0,17,4,223,42,17.15,313,71.24,0,0,3,SL
KM Jarvis,2009-2019,49.0,33,10,222,37,9.65,337,65.87,0,0,4,ZIM
DAJ Bracewell,2011-2022,21.0,14,2,221,57,18.41,274,80.65,0,1,1,NZ
BKV Prasad,1994-2001,161.0,63,31,221,19,6.9,367,60.21,0,0,8,IND
HS Baidwan,2008-2014,32.0,22,7,220,33,14.66,339,64.89,0,0,3,CAN
BJ McCarthy,2016-2024,45.0,30,7,220,41,9.56,355,61.97,0,0,4,IRE
Mohammed Shami,2013-2023,101.0,48,20,220,25,7.85,265,83.01,0,0,6,IND
Jasdeep Singh,2019-2023,24.0,19,2,219,38,12.88,352,62.21,0,0,2,USA
DR Lockhart,2006-2010,14.0,11,2,218,46,24.22,341,63.92,0,0,1,SCOT
Y Venugopal Rao,2005-2006,16.0,11,2,218,61,24.22,363,60.05,0,1,2,IND
NR Kumar,2010-2014,16.0,15,1,217,38,15.5,397,54.65,0,0,1,CAN
FA Rose,1997-2000,27.0,23,5,217,30,12.05,265,81.88,0,0,2,WI
EO Simons,1994-1995,23.0,18,4,217,24,15.5,295,73.55,0,0,1,SA
Taskin Ahmed,2014-2024,73.0,39,12,217,21,8.03,374,58.02,0,0,7,BAN
TA Boult,2012-2023,114.0,52,28,216,21,9.0,279,77.41,0,0,2,NZ
V Dahiya,2000-2001,19.0,15,2,216,51,16.61,267,80.89,0,1,2,IND
PL Taylor,1990-1992,45.0,24,12,216,54,18.0,273,79.12,0,1,1,AUS
PJL Dujon,1990-1991,20.0,16,2,213,53,15.21,313,68.05,0,1,3,WI
NO Perry,1999-2000,21.0,16,8,212,52,26.5,340,62.35,0,1,2,WI
FRJ Coleman,2013-2015,16.0,14,0,211,70,15.07,344,61.33,0,1,2,SCOT
DJM Short,2018-2020,8.0,8,1,211,69,30.14,269,78.43,0,1,1,AUS
K Gore,2019-2021,16.0,15,2,210,44,16.15,312,67.3,0,0,1,USA
KS Lokuarachchi,2003-2007,21.0,18,3,210,69,14.0,262,80.15,0,1,2,SL
S Fouche,2023-2023,7.0,7,0,209,83,29.85,317,65.93,0,2,2,NAM
WP Masakadza,2015-2024,38.0,24,4,208,40,10.4,350,59.42,0,0,4,ZIM
MHW Papps,2004-2005,6.0,6,2,207,92,51.75,342,60.52,0,2,0,NZ
TL Chatara,2013-2023,87.0,57,25,206,23,6.43,439,46.92,0,0,9,ZIM
AR Berenger,2014-2015,10.0,10,0,205,66,20.5,304,67.43,0,2,0,UAE
Ali Naseer,2023-2023,9.0,9,1,204,58,25.5,201,101.49,0,2,0,UAE
D Bau,2016-2022,14.0,13,2,204,46,18.54,367,55.58,0,0,2,PNG
DL Chahar,2018-2022,13.0,9,3,203,69,33.83,207,98.06,0,2,1,IND
JA Rennie,1993-2000,44.0,27,12,201,27,13.4,391,51.4,0,0,6,ZIM
IS Sodhi,2015-2023,51.0,24,4,201,35,10.05,276,72.82,0,0,5,NZ
FA Allen,2018-2022,20.0,16,3,200,51,15.38,203,98.52,0,1,2,WI
NW Bracken,2001-2009,116.0,35,18,199,21,11.7,282,70.56,0,0,5,AUS
AJ Burger,2003-2003,6.0,6,0,199,85,33.16,198,100.5,0,1,0,NAM
Z Crawley,2021-2023,8.0,8,1,199,58,28.42,205,97.07,0,2,3,ENG
Khushdil Shah,2020-2022,10.0,8,2,199,41,33.16,210,94.76,0,0,0,PAK
M Ntini,1998-2009,173.0,47,24,199,42,8.65,298,66.77,0,0,9,SA
OF Smith,2022-2023,9.0,8,1,199,46,28.42,119,167.22,0,0,0,WI
GA Lamb,2010-2011,15.0,14,3,197,37,17.9,381,51.7,0,0,1,ZIM
MR Swart,2011-2014,12.0,11,1,197,52,19.7,272,72.42,0,1,1,NED
TE Blain,1993-1994,16.0,16,2,196,41,14.0,287,68.29,0,0,3,NZ
T Maruma,2007-2021,22.0,18,1,196,35,11.52,330,59.39,0,0,1,ZIM
BM Scholtz,2019-2024,45.0,26,12,196,30,14.0,324,60.49,0,0,3,NAM
Shaheen Shah Afridi,2018-2023,53.0,29,17,196,25,16.33,239,82.0,0,0,3,PAK
A Sharafu,2021-2024,16.0,14,0,196,35,14.0,306,64.05,0,0,2,UAE
AP Devcich,2013-2016,12.0,11,0,195,58,17.72,253,77.07,0,1,2,NZ
GSNFG Jayasuriya,2015-2019,12.0,10,1,195,96,21.66,273,71.42,0,1,2,SL
ASA Perera,1998-2001,20.0,13,2,195,56,17.72,257,75.87,0,1,1,SL
Saqib Zulfiqar,2019-2023,15.0,15,2,194,34,14.92,301,64.45,0,0,1,NED
PJ Ingram,2010-2010,8.0,7,0,193,69,27.57,238,81.09,0,1,0,NZ
C Pringle,1990-1995,64.0,41,19,193,34,8.77,256,75.39,0,0,3,NZ
V Rathour,1996-1997,7.0,7,0,193,54,27.57,331,58.3,0,2,0,IND
MM Iqbal,2009-2014,13.0,12,4,192,63,24.0,360,53.33,0,1,2,SCOT
D Pretorius,2016-2022,27.0,13,1,192,50,16.0,224,85.71,0,1,1,SA
CJ Smith,2006-2007,12.0,12,0,192,52,16.0,245,78.36,0,1,3,BER
AJ Turner,2019-2021,9.0,7,1,192,84,32.0,160,120.0,0,1,0,AUS
CA Walsh,1990-2000,122.0,52,22,192,30,6.4,284,67.6,0,0,10,WI
TN Madondo,1998-2001,13.0,13,1,191,71,15.91,331,57.7,0,1,2,ZIM
Mohammad Boota,2018-2019,9.0,9,1,191,59,23.87,252,75.79,0,1,0,UAE
Shabir Noori,2010-2016,10.0,10,0,191,94,19.1,300,63.66,0,1,2,AFG
Kuldeep Yadav,2017-2023,103.0,37,18,190,19,10.0,338,56.21,0,0,3,IND
CJ McKay,2009-2014,59.0,31,10,190,30,9.04,337,56.37,0,0,3,AUS
Mohammad Shahzad,2014-2016,6.0,6,0,190,79,31.66,225,84.44,0,2,2,UAE
PP Shaw,2020-2021,6.0,6,0,189,49,31.5,166,113.85,0,0,0,IND
Usman Limbada,2010-2014,11.0,11,1,189,50,18.9,284,66.54,0,1,1,CAN
JA McCollum,2019-2021,10.0,10,0,188,73,18.8,280,67.14,0,2,1,IRE
BAW Mendis,2008-2015,87.0,42,19,188,21,8.17,263,71.48,0,0,10,SL
TJ Murtagh,2012-2019,58.0,36,12,188,23,7.83,298,63.08,0,0,7,IRE
BN Cooper,2013-2021,13.0,11,1,187,74,18.7,207,90.33,0,1,2,NED
BB Chari,2015-2020,14.0,14,0,186,39,13.28,399,46.61,0,0,0,ZIM
T Mupariwa,2004-2016,40.0,32,10,185,33,8.4,325,56.92,0,0,9,ZIM
SW Poynter,2014-2019,21.0,19,5,185,36,13.21,278,66.54,0,0,2,IRE
CJ Jordan,2013-2022,35.0,24,9,184,38,12.26,211,87.2,0,0,3,ENG
JL Ontong,2001-2012,28.0,16,2,184,32,13.14,267,68.91,0,0,1,SA
Sohag Gazi,2012-2014,20.0,16,4,184,30,15.33,213,86.38,0,0,0,BAN
SI de Saram,1999-2001,15.0,13,2,183,38,16.63,270,67.77,0,0,0,SL
MD Marshall,1990-1992,27.0,22,3,183,26,9.63,274,66.78,0,0,1,WI
SJ Benn,2008-2016,47.0,30,7,182,31,7.91,240,75.83,0,0,5,WI
A Dutt,2021-2024,38.0,29,7,181,23,8.22,280,64.64,0,0,3,NED
SB Bangar,2002-2004,15.0,15,2,180,57,13.84,239,75.31,0,1,3,IND
WKM Benjamin,1991-1995,38.0,25,9,180,24,11.25,216,83.33,0,0,2,WI
DG Cork,1992-2002,32.0,21,3,180,31,10.0,271,66.42,0,0,4,ENG
AF Milne,2012-2023,49.0,22,8,180,36,12.85,205,87.8,0,0,3,NZ
MJG Rippon,2013-2022,9.0,7,1,180,67,30.0,254,70.86,0,2,0,NED
JT Smuts,2020-2021,6.0,5,1,180,84,45.0,229,78.6,0,1,0,SA
WF Stelling,2006-2007,15.0,11,5,180,44,30.0,272,66.17,0,0,1,NED
Mazhar Hussain,1994-1996,7.0,7,0,179,70,25.57,334,53.59,0,1,0,UAE
DM Richards,2009-2010,8.0,7,0,179,59,25.57,251,71.31,0,2,0,WI
